"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             VIS_G","             VIS_L"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)"
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99811973892E+000,  0.18802610827E-002,  0.61834607288E+006,  0.00000000000E+000,  0.10430145520E+001,  0.99945246490E+003,  0.19351696047E-004,  0.11358451370E-002
"TIME [sec]  0.29913000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84322416401E+000,  0.15677583599E+000,  0.61880772593E+006,  0.00000000000E+000,  0.10437858106E+001,  0.99945267828E+003,  0.19351697563E-004,  0.11358450445E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99810733836E+000,  0.18926616444E-002,  0.61880772592E+006,  0.00000000000E+000,  0.10437858105E+001,  0.99945267828E+003,  0.19351697563E-004,  0.11358450445E-002
"TIME [sec]  0.29919000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84239989653E+000,  0.15760010347E+000,  0.61920397888E+006,  0.00000000000E+000,  0.10444478087E+001,  0.99945286144E+003,  0.19351698864E-004,  0.11358449651E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99809670251E+000,  0.19032974881E-002,  0.61920397887E+006,  0.00000000000E+000,  0.10444478087E+001,  0.99945286144E+003,  0.19351698864E-004,  0.11358449651E-002
"TIME [sec]  0.29926000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84143825527E+000,  0.15856174473E+000,  0.61966691746E+006,  0.00000000000E+000,  0.10452212150E+001,  0.99945307541E+003,  0.19351700384E-004,  0.11358448723E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99808428516E+000,  0.19157148434E-002,  0.61966691745E+006,  0.00000000000E+000,  0.10452212150E+001,  0.99945307541E+003,  0.19351700384E-004,  0.11358448723E-002
"TIME [sec]  0.29932000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84061399453E+000,  0.15938600547E+000,  0.62006427459E+006,  0.00000000000E+000,  0.10458850579E+001,  0.99945325908E+003,  0.19351701688E-004,  0.11358447927E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99807363490E+000,  0.19263651003E-002,  0.62006427458E+006,  0.00000000000E+000,  0.10458850579E+001,  0.99945325908E+003,  0.19351701688E-004,  0.11358447927E-002
"TIME [sec]  0.29939000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.83965236115E+000,  0.16034763885E+000,  0.62052850408E+006,  0.00000000000E+000,  0.10466606208E+001,  0.99945347365E+003,  0.19351703212E-004,  0.11358446997E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99806120070E+000,  0.19387992951E-002,  0.62052850407E+006,  0.00000000000E+000,  0.10466606208E+001,  0.99945347365E+003,  0.19351703212E-004,  0.11358446997E-002
"TIME [sec]  0.29945000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.83882810717E+000,  0.16117189283E+000,  0.62092697003E+006,  0.00000000000E+000,  0.10473263161E+001,  0.99945365783E+003,  0.19351704520E-004,  0.11358446199E-002
