"             ELEM1","             ELEM2","                 X","                 Y","                 Z","     FLOW_HYDROG_G","      FLOW_WATER_L"
"                  ","                  ","               (M)","               (M)","               (M)","            (KG/S)","            (KG/S)"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.29997000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30003000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30010000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30016000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30023000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30029000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30036000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30042000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30049000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30055000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30062000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30068000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30075000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
