,UTC,net flow cor [kg/s],CO2 rate [kg/s],zone P [MPa],TimeElapsed
136,2023-05-08 10:41:54.561000+00:00,0.0184959,0.0,2.496414,94914.561
137,2023-05-08 10:41:55.561000+00:00,0.0367922833333333,0.0,2.8180373,94915.561
138,2023-05-08 10:41:56.561000+00:00,0.0204078666666666,0.0,3.0317472,94916.561
139,2023-05-08 10:42:00.561000+00:00,0.0184670666666666,0.0,3.2370311,94920.561
140,2023-05-08 10:42:01.561000+00:00,0.0168682833333333,0.0,3.2984414,94921.561
141,2023-05-08 10:42:02.561000+00:00,0.0163974333333333,0.0,3.3885501,94922.561
142,2023-05-08 10:42:03.561000+00:00,0.03103675,0.0,3.8364264,94923.561
143,2023-05-08 10:42:04.561000+00:00,0.02517715,0.0,4.1557066,94924.561
144,2023-05-08 10:42:06.561000+00:00,0.0351850833333333,0.0,4.7603011,94926.561
145,2023-05-08 10:42:07.561000+00:00,0.0352523166666666,0.0,5.0415994,94927.561
146,2023-05-08 10:42:08.561000+00:00,0.0374102833333333,0.0,5.3151565,94928.561
147,2023-05-08 10:42:09.561000+00:00,0.0483770333333333,0.0,5.6673739,94929.561
148,2023-05-08 10:42:10.561000+00:00,0.0588107,0.0,6.0941285,94930.561
149,2023-05-08 10:42:11.561000+00:00,0.0706218333333333,0.0,6.5915925,94931.561
150,2023-05-08 10:42:12.561000+00:00,0.0807124166666666,0.0,6.9359248,94932.561
151,2023-05-08 10:42:25.561000+00:00,0.0990452666666666,0.0,6.6850512,94945.561
152,2023-05-08 10:42:26.561000+00:00,0.0990721666666666,0.0,6.7197716,94946.561
153,2023-05-08 10:42:27.561000+00:00,0.0991058,0.0,6.7646616,94947.561
154,2023-05-08 10:42:28.561000+00:00,0.09281725,0.0,6.7487726,94948.561
155,2023-05-08 10:42:31.561000+00:00,0.0935515166666666,0.0,6.5850161,94951.561
156,2023-05-08 10:42:32.561000+00:00,0.0933542,0.0,6.5641565,94952.561
157,2023-05-08 10:42:33.561000+00:00,0.0939176999999999,0.0,6.5481718,94953.561
158,2023-05-08 10:42:34.561000+00:00,0.0897142333333333,0.0,6.5079049,94954.561
159,2023-05-08 10:43:12.561000+00:00,0.0919268833333333,0.0,6.5300342,94992.561
160,2023-05-08 10:43:13.561000+00:00,0.0942899,0.0,6.529965,94993.561
161,2023-05-08 10:43:14.561000+00:00,0.0942879,0.0,6.5258016,94994.561
162,2023-05-08 10:43:15.561000+00:00,0.09116805,0.0,6.5216461,94995.561
163,2023-05-08 10:43:40.568000+00:00,0.0928328,0.0,6.511095,95020.568
164,2023-05-08 10:43:41.568000+00:00,0.0928211166666666,0.0,6.5136022,95021.568
165,2023-05-08 10:43:42.568000+00:00,0.0920481833333333,0.0,6.5122622,95022.568
166,2023-05-08 10:43:43.568000+00:00,0.0897123666666666,0.0,6.5066902,95023.568
167,2023-05-08 11:00:00+00:00,0.0882455,0.0,5.976416,96000.0
168,2023-05-08 12:03:48.923000+00:00,0.0882556833333333,0.0,6.5562605,99828.923
169,2023-05-08 12:03:49.923000+00:00,0.0882390166666666,0.0,6.5550843,99829.923
170,2023-05-08 12:03:50.923000+00:00,0.0882500166666666,0.0,6.5566686,99830.923
171,2023-05-08 12:03:51.923000+00:00,0.0825179833333333,0.0,6.4954821,99831.923
172,2023-05-08 12:40:00+00:00,0.0882811833333333,0.0,6.5210351,102000.0
173,2023-05-08 14:20:00+00:00,0.08825445,0.0,6.5968329,108000.0
174,2023-05-08 14:52:45.226000+00:00,0.0882468333333333,0.0,6.3723677,109965.226
175,2023-05-08 14:52:46.226000+00:00,0.0882513333333333,0.0,6.3749184,109966.226
176,2023-05-08 14:52:47.226000+00:00,0.0882613166666666,0.0,6.3725927,109967.226
177,2023-05-08 14:52:48.226000+00:00,0.0049855666666666,0.0,5.8689995,109968.226
178,2023-05-08 14:52:49.226000+00:00,0.0,0.0,5.0428918,109969.226
179,2023-05-08 16:00:00+00:00,0.0,0.0,0.9077887,114000.0
180,2023-05-08 17:40:00+00:00,0.0,0.0,0.8041668,120000.0
181,2023-05-08 19:20:00+00:00,0.0,0.0,0.8977614,126000.0
182,2023-05-08 21:00:00+00:00,0.0,0.0,0.8559109,132000.0
183,2023-05-08 22:40:00+00:00,0.0,0.0,0.8442069,138000.0
184,2023-05-09 00:20:00+00:00,0.0,0.0,0.8270641,144000.0
185,2023-05-09 02:00:00+00:00,0.0,0.0,0.8150698,150000.0
186,2023-05-09 03:40:00+00:00,0.0,0.0,0.7975756,156000.0
187,2023-05-09 05:20:00+00:00,0.0,0.0,0.7809861,162000.0
188,2023-05-09 07:00:00+00:00,0.0,0.0,0.7615442,168000.0
189,2023-05-09 08:40:00+00:00,0.0,0.0,0.7482644,174000.0
190,2023-05-09 10:20:00+00:00,0.0,0.0,0.7335788,180000.0
191,2023-05-09 11:59:32.675000+00:00,0.0041503833333333,8.933982167729706e-05,0.9205283,185972.675
192,2023-05-09 11:59:33.675000+00:00,0.00424315,9.194312659319513e-05,0.9975204,185973.675
193,2023-05-09 11:59:34.675000+00:00,0.00594595,0.0001305247349898,1.0746989,185974.675
194,2023-05-09 11:59:35.675000+00:00,0.0868682666666666,0.0019311316724375,2.8483862,185975.675
195,2023-05-09 11:59:41.675000+00:00,0.08500325,0.001850933396453,6.7767346,185981.675
196,2023-05-09 11:59:42.675000+00:00,0.0850122166666666,0.0018908918126082,6.6151491,185982.675
197,2023-05-09 11:59:43.675000+00:00,0.0849869333333333,0.0018703492170769,6.4578063,185983.675
198,2023-05-09 11:59:44.675000+00:00,0.0795429999999999,0.0017366256512907,6.3969258,185984.675
199,2023-05-09 11:59:45.675000+00:00,0.0909527333333333,0.0020045804498505,6.3896114,185985.675
200,2023-05-09 12:00:00+00:00,0.0983616333333333,0.002106571656384,6.5268763,186000.0
201,2023-05-09 12:00:02.675000+00:00,0.0983607166666666,0.0020533411582608,6.5748879,186002.675
202,2023-05-09 12:00:03.675000+00:00,0.0980493333333333,0.0020615703118356,6.5912586,186003.675
203,2023-05-09 12:00:04.675000+00:00,0.09981575,0.0021424357550054,6.5999063,186004.675
204,2023-05-09 12:00:05.675000+00:00,0.0970858833333333,0.0020108230632868,6.6046173,186005.675
205,2023-05-09 12:08:37.720000+00:00,0.1127784999999999,0.0016595039687834,6.0854003,186517.72
206,2023-05-09 12:08:38.720000+00:00,0.1130844499999999,0.001635942255649,6.0848114,186518.72
207,2023-05-09 12:08:39.720000+00:00,0.1119873833333333,0.0016233176267163,6.084329,186519.72
208,2023-05-09 12:08:40.720000+00:00,0.10966655,0.0015754523021628,6.0812959,186520.72
209,2023-05-09 12:08:41.720000+00:00,0.1025709666666666,0.0015075716058402,6.0848783,186521.72
210,2023-05-09 12:08:42.720000+00:00,0.0986837166666666,0.0014285253982637,6.0851747,186522.72
211,2023-05-09 12:08:50.720000+00:00,0.0984083666666666,0.0014149306777809,6.0617758,186530.72
212,2023-05-09 12:08:51.720000+00:00,0.0988514,0.0014216913041576,6.0643073,186531.72
213,2023-05-09 12:08:52.720000+00:00,0.0985098666666666,0.0014105586421885,6.0632739,186532.72
214,2023-05-09 12:08:53.720000+00:00,0.09574395,0.0013925974089666,6.0458528,186533.72
215,2023-05-09 13:40:00+00:00,0.08739575,0.0016367153162026,6.3607935,192000.0
216,2023-05-09 15:20:00+00:00,0.0869953666666666,0.0016315447264673,6.548729,198000.0
217,2023-05-09 16:28:35.161000+00:00,0.0878401499999999,0.0016856843028428,6.6092732,202115.161
218,2023-05-09 16:28:36.161000+00:00,0.0882647333333333,0.0017050066773044,6.6152143,202116.161
219,2023-05-09 16:28:37.161000+00:00,0.0878429,0.0016456560304436,6.6102856,202117.161
220,2023-05-09 16:28:38.161000+00:00,0.0852272,0.0016508506801623,6.5731936,202118.161
221,2023-05-09 17:00:00+00:00,0.08826155,0.0016904539560891,6.6412893,204000.0
222,2023-05-09 17:17:03.372000+00:00,0.0878385,0.0017608426483021,6.6247501,205023.372
223,2023-05-09 17:17:04.372000+00:00,0.0874457166666666,0.0017922863821326,6.6246555,205024.372
224,2023-05-09 17:17:05.372000+00:00,0.08789565,0.0017548556027307,6.6254048,205025.372
225,2023-05-09 17:17:06.372000+00:00,0.0,6.97907132000421e-05,6.0438672,205026.372
226,2023-05-09 18:40:00+00:00,0.0,0.0,0.6151449,210000.0
227,2023-05-09 20:20:00+00:00,0.0,0.0,0.489468,216000.0
228,2023-05-09 22:00:00+00:00,0.0,0.0,0.4397016,222000.0
229,2023-05-09 23:40:00+00:00,0.0,0.0,0.4025303,228000.0
230,2023-05-10 01:20:00+00:00,0.0,0.0,0.4000833,234000.0
