UTC,downhole pressure [kPa],CO2 partial pressure [kPa],pH
05/10/2023 01:17:02.690,398.46,88.2193945182676,5.6652
05/10/2023 01:44:40.060,392.29,88.2516947626776,5.671
05/10/2023 02:12:17.760,386.03,88.0195118938,5.6772
05/10/2023 02:39:55.410,380.15,88.1008656351332,5.6837
05/10/2023 03:07:34.810,374.46,88.2500617227332,5.6905
05/10/2023 03:35:13.430,368.78,88.3229826442876,5.6959
05/10/2023 04:02:52.130,364.15,88.5536088637213,5.701
05/10/2023 04:30:31.800,358.85,88.2430516357518,5.7066
05/10/2023 04:58:11.130,354.23,88.1413197522304,5.7131
05/10/2023 05:25:50.500,348.93,88.3377099920341,5.7186
05/10/2023 05:53:30.470,344.3,88.3636242945714,5.7241
05/10/2023 06:21:10.610,340.16,88.1606131788469,5.7291
05/10/2023 06:48:51.550,335.24,88.4109167231844,5.734
05/10/2023 07:16:32.260,331.29,88.4163791104921,5.7386
05/10/2023 07:44:13.380,327.43,88.565725734504,5.7437
05/10/2023 08:11:54.310,323.29,88.4482960511361,5.7504
05/10/2023 08:39:39.730,318.95,88.3881953154202,5.7567
05/10/2023 09:07:21.540,315.97,88.4305098895287,5.7622
05/10/2023 09:35:03.560,311.63,88.2783106311639,5.7668
05/10/2023 10:02:46.600,307.68,88.4874234559246,5.7714
05/10/2023 10:30:29.740,304.79,88.3214789672701,5.7765
05/10/2023 10:58:13.100,301.03,88.5273195350151,5.7819
05/10/2023 11:25:56.260,298.04,88.4365833057223,5.7858
05/10/2023 11:46:24.220,295.44,88.4096769444509,5.7897
05/10/2023 12:15:46.640,291.87,88.5424685159177,5.7947
05/10/2023 12:45:09.480,288.5,88.7019513019953,5.7998
05/10/2023 13:14:32.230,285.22,88.7021094454137,5.8032
05/10/2023 13:43:55.460,282.43,88.7063515595856,5.8084
05/10/2023 14:13:19.190,278.96,88.6902413097792,5.8145
05/10/2023 14:42:46.290,275.97,88.7435550812453,5.8212
05/10/2023 15:12:09.670,270.58,88.7510693702789,5.837
05/10/2023 15:41:33.370,228.65,88.7677764407121,5.9254
05/10/2023 16:10:57.960,190.88,88.7538498651926,6.0143
