Time (days),TimeElapsed,Gas Pressure (MPa),Water Injection Rate (kg/s)
248.71158564814687,21488680.99999989,4.282877560366,8.379519155052907e-09
248.89769675926073,21504761.000000127,4.288385319462001,8.393843780970072e-09
249.08184027778043,21520671.00000023,4.292516138784001,8.373321810127865e-09
249.2670370370397,21536672.00000023,4.300777777427999,8.383480032497255e-09
249.45187499999884,21552641.9999999,4.303531656975999,8.387784846763736e-09
249.63672453703475,21568612.999999803,4.309039416071999,8.385244004807614e-09
249.82225694444787,21584643.000000298,4.314547175167999,8.384253773914478e-09
250.00722222222248,21600624.000000022,4.320054934264,8.38402578075938e-09
250.19310185185168,21616683.999999985,4.325562693359999,8.382498132025765e-09
250.37817129629548,21632673.99999993,4.331070452455999,8.383270419039774e-09
250.5637152777781,21648705.00000003,4.336578211551999,8.3757610878394e-09
250.7494791666686,21664755.000000168,4.342085970647999,8.3897266042887e-09
250.93444444444322,21680735.999999896,4.347593729744,8.384025780757424e-09
251.1203240740724,21696795.99999986,4.353101488839999,8.384439975114477e-09
251.30482638889225,21712737.00000029,4.357232308162001,8.381019383750997e-09
251.489432870374,21728687.000000313,4.362740067258,8.376353354218616e-09
251.67347222222452,21744588.000000197,4.369624766127999,8.390081755926347e-09
251.8587731481457,21760597.999999788,4.372378645675999,8.38077801395584e-09
252.0438425925895,21776587.99999973,4.379263344546,8.387234021292118e-09
252.22938657407212,21792618.999999832,4.3847711036420005,8.38172266228869e-09
252.4129513888911,21808479.00000019,4.388901922964,8.38360819653271e-09
252.5969907407416,21824380.000000075,4.393032742286,8.382046915349766e-09
252.78101851851534,21840279.999999724,4.398540501382,8.38662339641032e-09
252.96598379629722,21856261.000000082,4.39440968206,8.382011388338542e-09
253.15024305555562,21872181.000000007,4.39440968206,8.382027386972578e-09
253.33612268518482,21888240.99999997,4.397163561607999,8.382498132023173e-09
253.52108796295943,21904221.999999695,4.399917441156001,8.38402578075938e-09
253.7046527777784,21920082.000000052,4.4012943809300005,8.383608196531835e-09
253.8879976851822,21935922.999999743,4.404048260478,8.385598384104943e-09
254.07318287037197,21951923.000000138,4.408179079799999,8.374069749793603e-09
254.25768518518453,21967863.999999944,4.413686838896,8.387014616499481e-09
254.44252314815094,21983834.000000242,4.416440718444,8.387784846430463e-09
254.62736111111008,21999803.99999991,4.419194597992001,8.381800501113093e-09
254.81313657407736,22015855.000000283,4.424702357088,8.375290012889744e-09
254.9977430555591,22031805.000000305,4.42883317641,8.388273981179753e-09
255.18212962963298,22047736.00000029,4.432963995732001,8.384322641399195e-09
255.36731481481547,22063736.000000056,4.43571787528,8.384004000122264e-09
255.55355324073753,22079826.999999724,4.437094815054,8.38416692578415e-09
255.7387384259273,22095827.00000012,4.443979513924001,8.382054874792127e-09
255.92415509259445,22111847.00000016,4.446733393472001,8.385468414460246e-09
256.10888888889167,22127808.00000024,4.4536180923419995,8.380539063928213e-09
256.29418981481285,22143817.99999983,4.45637197189,8.384736664798354e-09
256.47915509259474,22159799.000000186,4.459125851437999,8.382011388337674e-09
256.66329861111444,22175709.000000287,4.463256670760001,8.385335637908918e-09
256.8480324074044,22191669.99999974,4.467387490082,8.382555980490846e-09
257.03310185185546,22207660.000000313,4.474272188952001,8.3832704187097e-09
257.2186342592613,22223690.00000018,4.477026068500001,8.382245539683784e-09
257.405104166668,22239801.00000012,4.481156887822,8.38368717028753e-09
257.5905208333352,22255821.00000016,4.48391076737,8.38352172282624e-09
257.77502314814774,22271761.999999963,4.489418526465999,8.381019384081126e-09
257.9593981481448,22287691.999999713,4.492172406014,8.382828123170223e-09
258.14320601851796,22303572.99999995,4.499057104884001,8.386585101566916e-09
258.32839120370045,22319572.999999717,4.501810984432001,8.381992000124204e-09
258.5134606481515,22335563.00000029,4.505941803754,8.385283676995822e-09
258.6985416666648,22351553.99999984,4.51144956285,8.380795947956875e-09
258.883958333332,22367573.99999988,4.512826502624001,8.383458926322391e-09
259.0693865740759,22383595.000000156,4.518334261720001,8.380989076691318e-09
259.25399305555766,22399545.000000183,4.523842020816,8.38631874606866e-09
259.4391898148169,22415546.000000183,4.527972840138,8.381531029309666e-09
259.62321759259066,22431445.999999832,4.529349779912001,8.3825740882346e-09
259.8088657407425,22447486.00000015,4.534857539008001,8.382977930010191e-09
259.99417824074044,22463496.999999974,4.543119177652,8.384275810471504e-09
260.1797106481463,22479526.99999984,4.545873057200001,8.3861992514734e-09
260.3629398148114,22495357.999999706,4.551380816296,8.38288850995655e-09
260.5470833333311,22511267.999999806,4.5541346958440005,8.381288874868172e-09
260.7335532407378,22527378.999999747,4.5568885753920005,8.38368717028839e-09
260.9187384259276,22543379.00000014,4.5623963344880005,8.376018874792976e-09
261.1045138888876,22559429.99999989,4.566527153809999,8.391209519788539e-09
261.28969907407736,22575430.000000283,4.569281033357999,8.380042874793277e-09
261.47476851852116,22591420.000000227,4.572034912906,8.387234021292118e-09
261.6612384259279,22607531.000000168,4.577542672001999,8.3816890323687e-09
261.84572916666366,22623470.99999974,4.58029655155,8.385584316411245e-09
262.03011574073753,22639401.999999724,4.585804310646,8.37428221706991e-09
262.2151851851886,22655392.000000294,4.5899351299680005,8.391260537536957e-09
262.39957175926247,22671323.000000276,4.5954428890640004,8.38223877974766e-09
262.58406249999825,22687262.99999985,4.598196768612,8.375612672744532e-09
262.76972222221957,22703303.99999977,4.6037045277079995,8.390420048668109e-09
262.9560648148181,22719404.000000283,4.606458407256,8.381479627063e-09
263.1427546296327,22735534.000000264,4.613343106126,8.3856617483046e-09
263.32656249999854,22751414.999999873,4.617473925448,8.380567218894569e-09
263.51082175925694,22767334.9999998,4.62160474477,8.386071608079398e-09
263.69555555555417,22783295.99999988,4.625735564092,8.382492951526694e-09
263.8800462962972,22799236.000000082,4.629866383414001,8.383564742679182e-09
264.0651273148178,22815227.000000257,4.633997202736,8.382746169629015e-09
264.25077546296234,22831266.999999948,4.638128022058,8.383040648539517e-09
264.4351620370362,22847197.99999993,4.64225884138,8.37623978408075e-09
264.61988425925665,22863157.999999776,4.64914354025,8.389069298323742e-09
264.8053009259238,22879177.999999817,4.64914354025,8.385468414460246e-09
264.9904976851831,22895178.999999817,4.656028239119999,8.381531029312266e-09
265.17649305555824,22911249.00000023,4.661535998215999,8.383228997916888e-09
265.3609953703708,22927190.000000037,4.664289877764,8.383038830789572e-09
265.54548611111386,22943130.00000024,4.66979763686,8.381545169280061e-09
265.73056712962716,22959120.999999788,4.672551516407999,8.384759302343885e-09
265.9159837962943,22975140.99999983,4.678059275504,8.379502746545332e-09
266.10221064814687,22991230.99999989,4.683567034599999,8.386688750745525e-09
266.2870601851828,23007201.99999979,4.686320914147999,8.385306993977565e-09
266.4727083333346,23023242.000000108,4.690451733470001,8.382977930008461e-09
266.65952546296467,23039383.00000015,4.694582552791999,8.381941391466679e-09
266.8450578703705,23055413.00000001,4.698713372114001,8.384253774246581e-09
267.030821759261,23071463.000000153,4.702844191435999,8.381766355066049e-09
267.216134259259,23087473.999999978,4.706975010758001,8.384212978667155e-09
267.4010879629641,23103454.000000097,4.711105830079999,8.384550437986155e-09
267.58489583332994,23119334.999999706,4.713859709628,8.38253094913947e-09
267.7685763888876,23135204.99999989,4.715236649402001,8.38238248257439e-09
267.9542361111089,23151245.99999981,4.720744408498,8.382455333250652e-09
268.13814814815123,23167136.00000027,4.727629107367999,8.377783133805303e-09
268.32460648148117,23183245.999999974,4.729006047142001,8.390139913249854e-09
268.5095717592558,23199226.9999997,4.733136866464,8.376031162149185e-09
268.69406249999884,23215166.9999999,4.737267685786,8.391579924612655e-09
268.87891203703475,23231137.999999803,4.7427754448820005,8.381275687232797e-09
269.0632870370391,23247068.00000018,4.7455293244300005,8.386806653914293e-09
269.2482523148137,23263048.999999907,4.749660143752,8.379996996575739e-09
269.4334375000035,23279049.0000003,4.7524140233,8.384066874793579e-09
269.61815972222394,23295009.00000015,4.755167902848,8.383018170505706e-09
269.804398148146,23311099.999999814,4.7592987221700005,8.382228823741143e-09
269.9886574074044,23327019.99999974,4.764806481266,8.382027386972578e-09
270.17547453703446,23343160.999999776,4.768937300588001,8.381941391470333e-09
270.3606597222242,23359161.00000017,4.77306811991,8.384003999792368e-09
270.54631944444554,23375202.000000097,4.775821999458,8.38251804754194e-09
270.731620370374,23391212.000000313,4.777198939232001,8.386747407755771e-09
