"              ELEM","                 X","                 Y","                 Z","              ROCK","            KABS_1","            KABS_2","            KABS_3","              PRES","             SAT_G","             SAT_L"
"                  ","               (M)","               (M)","               (M)","                  ","            (M**2)","            (M**2)","            (M**2)","              (PA)","               (-)","               (-)"
"TIME [sec]  0.17676752E+08"
"             A1170", -0.16180000000E-001,  0.20664000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050341813E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1171", -0.16180000000E-001, -0.20664000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050336789E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1172",  0.22222000000E-001, -0.22800000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050374657E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1173",  0.22225500000E-001,  0.22686000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050375491E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1174", -0.15773000000E-001,  0.17036900000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050331936E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1175", -0.15773000000E-001, -0.17036000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050327335E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1176", -0.16932000000E-001, -0.14553000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050319833E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1177", -0.16932000000E-001,  0.14553900000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050323845E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1178",  0.12969000000E-002,  0.22209000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050342024E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1179",  0.12969000000E-002, -0.22209000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050336051E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1180",  0.15249800000E-001, -0.16133000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050355532E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1181",  0.15249800000E-001,  0.16133500000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050359984E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1182", -0.22231000000E-001,  0.11730000000E-015,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050314897E+007,  0.00000000000E+000,  0.10000000000E+001
