t_utc,p_kPa
2023-05-08T06:06:31.000000+0000,828.451
2023-05-08T06:07:31.000000+0000,828.724
2023-05-08T06:08:31.000000+0000,828.995
2023-05-08T06:09:31.000000+0000,829.265
2023-05-08T06:10:31.000000+0000,829.535
2023-05-08T06:11:31.000000+0000,829.803
2023-05-08T06:12:31.000000+0000,830.070
2023-05-08T06:13:31.000000+0000,830.336
2023-05-08T06:14:31.000000+0000,830.601
2023-05-08T06:15:31.000000+0000,830.865
2023-05-08T06:16:31.000000+0000,831.128
2023-05-08T06:17:31.000000+0000,831.390
2023-05-08T06:18:31.000000+0000,831.651
2023-05-08T06:19:31.000000+0000,831.911
2023-05-08T06:20:31.000000+0000,832.170
2023-05-08T06:21:31.000000+0000,832.428
2023-05-08T06:22:31.000000+0000,832.685
2023-05-08T06:23:31.000000+0000,832.941
2023-05-08T06:24:31.000000+0000,833.196
2023-05-08T06:25:31.000000+0000,833.451
2023-05-08T06:26:31.000000+0000,833.704
2023-05-08T06:27:31.000000+0000,833.956
2023-05-08T06:28:31.000000+0000,834.207
2023-05-08T06:29:31.000000+0000,834.458
2023-05-08T06:30:31.000000+0000,834.707
2023-05-08T06:31:31.000000+0000,834.956
2023-05-08T06:32:31.000000+0000,835.203
2023-05-08T06:33:31.000000+0000,835.450
2023-05-08T06:34:31.000000+0000,835.696
2023-05-08T06:35:31.000000+0000,835.940
2023-05-08T06:36:31.000000+0000,836.184
2023-05-08T06:37:31.000000+0000,836.427
2023-05-08T06:38:31.000000+0000,836.669
2023-05-08T06:39:31.000000+0000,836.911
2023-05-08T06:40:31.000000+0000,837.476
2023-05-08T06:41:31.000000+0000,838.100
2023-05-08T06:42:31.000000+0000,838.453
2023-05-08T06:43:31.000000+0000,838.755
2023-05-08T06:44:31.000000+0000,839.036
2023-05-08T06:45:31.000000+0000,839.307
2023-05-08T06:46:31.000000+0000,839.572
2023-05-08T06:47:31.000000+0000,839.831
2023-05-08T06:48:31.000000+0000,840.086
2023-05-08T06:49:31.000000+0000,840.338
2023-05-08T06:50:31.000000+0000,840.587
2023-05-08T06:51:31.000000+0000,840.834
2023-05-08T06:52:31.000000+0000,841.079
2023-05-08T06:53:31.000000+0000,841.321
2023-05-08T06:54:31.000000+0000,841.562
2023-05-08T06:55:31.000000+0000,841.801
2023-05-08T06:56:31.000000+0000,842.039
2023-05-08T06:57:31.000000+0000,842.276
2023-05-08T06:58:31.000000+0000,842.511
2023-05-08T06:59:31.000000+0000,842.744
2023-05-08T07:00:31.000000+0000,842.977
2023-05-08T07:01:31.000000+0000,843.208
2023-05-08T07:02:31.000000+0000,843.438
2023-05-08T07:03:31.000000+0000,843.667
2023-05-08T07:04:31.000000+0000,843.895
2023-05-08T07:05:31.000000+0000,844.121
2023-05-08T07:06:31.000000+0000,844.347
2023-05-08T07:07:31.000000+0000,844.572
2023-05-08T07:08:31.000000+0000,844.796
2023-05-08T07:09:31.000000+0000,845.018
2023-05-08T07:10:31.000000+0000,845.240
2023-05-08T07:11:31.000000+0000,845.461
2023-05-08T07:12:31.000000+0000,845.681
2023-05-08T07:13:31.000000+0000,845.900
2023-05-08T07:14:31.000000+0000,846.118
2023-05-08T07:15:31.000000+0000,846.336
2023-05-08T07:16:31.000000+0000,846.552
2023-05-08T07:17:31.000000+0000,846.768
2023-05-08T07:18:31.000000+0000,846.982
2023-05-08T07:19:31.000000+0000,847.196
2023-05-08T07:20:31.000000+0000,847.409
2023-05-08T07:21:31.000000+0000,847.621
2023-05-08T07:22:31.000000+0000,847.833
2023-05-08T07:23:31.000000+0000,848.044
2023-05-08T07:24:31.000000+0000,848.253
2023-05-08T07:25:31.000000+0000,848.463
2023-05-08T07:26:31.000000+0000,848.671
2023-05-08T07:27:31.000000+0000,848.878
2023-05-08T07:28:31.000000+0000,849.085
2023-05-08T07:29:31.000000+0000,849.291
2023-05-08T07:30:31.000000+0000,849.496
2023-05-08T07:31:31.000000+0000,849.701
2023-05-08T07:32:31.000000+0000,849.905
2023-05-08T07:33:31.000000+0000,850.108
2023-05-08T07:34:31.000000+0000,850.310
2023-05-08T07:35:31.000000+0000,850.512
2023-05-08T07:36:31.000000+0000,850.713
2023-05-08T07:37:31.000000+0000,850.913
2023-05-08T07:38:31.000000+0000,851.112
2023-05-08T07:39:31.000000+0000,851.311
2023-05-08T07:40:31.000000+0000,851.509
2023-05-08T07:41:31.000000+0000,851.707
2023-05-08T07:42:31.000000+0000,851.904
2023-05-08T07:43:31.000000+0000,852.100
2023-05-08T07:44:31.000000+0000,852.295
2023-05-08T07:45:31.000000+0000,852.490
2023-05-08T07:46:31.000000+0000,852.684
2023-05-08T07:47:31.000000+0000,852.877
2023-05-08T07:48:31.000000+0000,853.070
2023-05-08T07:49:31.000000+0000,853.262
2023-05-08T07:50:31.000000+0000,853.453
2023-05-08T07:51:31.000000+0000,853.644
2023-05-08T07:52:31.000000+0000,853.834
2023-05-08T07:53:31.000000+0000,854.024
2023-05-08T07:54:31.000000+0000,854.213
2023-05-08T07:55:31.000000+0000,854.401
2023-05-08T07:56:31.000000+0000,854.589
2023-05-08T07:57:31.000000+0000,854.776
2023-05-08T07:58:31.000000+0000,854.962
2023-05-08T07:59:31.000000+0000,855.148
2023-05-08T08:00:31.000000+0000,855.333
2023-05-08T08:01:31.000000+0000,855.517
2023-05-08T08:02:31.000000+0000,855.701
2023-05-08T08:03:31.000000+0000,855.885
2023-05-08T08:04:31.000000+0000,856.067
2023-05-08T08:05:31.000000+0000,856.250
2023-05-08T08:06:31.000000+0000,856.431
2023-05-08T08:07:31.000000+0000,856.612
2023-05-08T08:08:31.000000+0000,856.792
2023-05-08T08:09:31.000000+0000,856.972
2023-05-08T08:10:31.000000+0000,857.151
2023-05-08T08:11:31.000000+0000,857.330
2023-05-08T08:12:31.000000+0000,857.508
2023-05-08T08:13:31.000000+0000,857.686
2023-05-08T08:14:31.000000+0000,857.862
2023-05-08T08:15:31.000000+0000,858.039
2023-05-08T08:16:31.000000+0000,858.215
2023-05-08T08:17:31.000000+0000,858.390
2023-05-08T08:18:31.000000+0000,858.564
2023-05-08T08:19:31.000000+0000,858.739
2023-05-08T08:20:31.000000+0000,859.013
2023-05-08T08:21:31.000000+0000,859.305
2023-05-08T08:22:31.000000+0000,859.514
2023-05-08T08:23:31.000000+0000,859.705
2023-05-08T08:24:31.000000+0000,859.891
2023-05-08T08:25:31.000000+0000,860.072
2023-05-08T08:26:31.000000+0000,860.252
2023-05-08T08:27:31.000000+0000,860.429
2023-05-08T08:28:31.000000+0000,860.605
2023-05-08T08:29:31.000000+0000,860.780
2023-05-08T08:30:31.000000+0000,860.953
2023-05-08T08:31:31.000000+0000,861.126
2023-05-08T08:32:31.000000+0000,861.298
2023-05-08T08:33:31.000000+0000,861.469
2023-05-08T08:34:31.000000+0000,861.638
2023-05-08T08:35:31.000000+0000,861.808
2023-05-08T08:36:31.000000+0000,861.976
2023-05-08T08:37:31.000000+0000,862.144
2023-05-08T08:38:31.000000+0000,862.311
2023-05-08T08:39:31.000000+0000,862.477
2023-05-08T08:40:31.000000+0000,862.643
