"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","             SAT_S","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             DEN_S","             VIS_G","             VIS_L","             VIS_S"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)","            (PA*S)"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964481366E+000,  0.60035518634E+000,  0.00000000000E+000,  0.35090311841E+007,  0.00000000000E+000,  0.84712293322E+002,  0.10092279946E+004,  0.21614098621E+004,  0.15577014338E-004,  0.11368793831E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39958836591E+000,  0.60041163409E+000,  0.00000000000E+000,  0.35090311841E+007,  0.00000000000E+000,  0.84712293322E+002,  0.10092279946E+004,  0.21614098621E+004,  0.15577014338E-004,  0.11368793831E-002,  0.10000000000E+001
"TIME [sec]  0.18327200E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964390118E+000,  0.60035609882E+000,  0.00000000000E+000,  0.35094833248E+007,  0.00000000000E+000,  0.84727522825E+002,  0.10092289649E+004,  0.21614099012E+004,  0.15577290160E-004,  0.11368791087E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39958463445E+000,  0.60041536555E+000,  0.00000000000E+000,  0.35094833248E+007,  0.00000000000E+000,  0.84727522825E+002,  0.10092289649E+004,  0.21614099012E+004,  0.15577290160E-004,  0.11368791087E-002,  0.10000000000E+001
"TIME [sec]  0.19200000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964298874E+000,  0.60035701126E+000,  0.00000000000E+000,  0.35099355524E+007,  0.00000000000E+000,  0.84742755255E+002,  0.10092299351E+004,  0.21614099403E+004,  0.15577566035E-004,  0.11368788343E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39958090315E+000,  0.60041909685E+000,  0.00000000000E+000,  0.35099355524E+007,  0.00000000000E+000,  0.84742755255E+002,  0.10092299351E+004,  0.21614099403E+004,  0.15577566035E-004,  0.11368788343E-002,  0.10000000000E+001
"TIME [sec]  0.20072700E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964207654E+000,  0.60035792346E+000,  0.00000000000E+000,  0.35103877634E+007,  0.00000000000E+000,  0.84757987124E+002,  0.10092309052E+004,  0.21614099794E+004,  0.15577841899E-004,  0.11368785599E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39957717286E+000,  0.60042282714E+000,  0.00000000000E+000,  0.35103877634E+007,  0.00000000000E+000,  0.84757987124E+002,  0.10092309052E+004,  0.21614099794E+004,  0.15577841899E-004,  0.11368785599E-002,  0.10000000000E+001
"TIME [sec]  0.20945400E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964116447E+000,  0.60035883553E+000,  0.00000000000E+000,  0.35108400095E+007,  0.00000000000E+000,  0.84773220177E+002,  0.10092318751E+004,  0.21614100185E+004,  0.15578117785E-004,  0.11368782855E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39957344317E+000,  0.60042655683E+000,  0.00000000000E+000,  0.35108400095E+007,  0.00000000000E+000,  0.84773220177E+002,  0.10092318751E+004,  0.21614100185E+004,  0.15578117785E-004,  0.11368782855E-002,  0.10000000000E+001
"TIME [sec]  0.21818100E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964025255E+000,  0.60035974745E+000,  0.00000000000E+000,  0.35112922907E+007,  0.00000000000E+000,  0.84788454412E+002,  0.10092328448E+004,  0.21614100576E+004,  0.15578393693E-004,  0.11368780111E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39956971406E+000,  0.60043028594E+000,  0.00000000000E+000,  0.35112922907E+007,  0.00000000000E+000,  0.84788454412E+002,  0.10092328448E+004,  0.21614100576E+004,  0.15578393693E-004,  0.11368780111E-002,  0.10000000000E+001
"TIME [sec]  0.22690900E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963934066E+000,  0.60036065934E+000,  0.00000000000E+000,  0.35117446589E+007,  0.00000000000E+000,  0.84803691577E+002,  0.10092338146E+004,  0.21614100967E+004,  0.15578669653E-004,  0.11368777366E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39956598511E+000,  0.60043401489E+000,  0.00000000000E+000,  0.35117446589E+007,  0.00000000000E+000,  0.84803691577E+002,  0.10092338146E+004,  0.21614100967E+004,  0.15578669653E-004,  0.11368777366E-002,  0.10000000000E+001
"TIME [sec]  0.23563600E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963842901E+000,  0.60036157099E+000,  0.00000000000E+000,  0.35121970103E+007,  0.00000000000E+000,  0.84818928180E+002,  0.10092347842E+004,  0.21614101358E+004,  0.15578945603E-004,  0.11368774621E-002,  0.10000000000E+001
